Id,Subscribers,CC,Views,Length,Automobile,Blog,Comedy,Entertainment,Food,Informative,News,Science,Tech,VideoGames,Title_Length,Title_Upper,Title_Digit,Title_Punct
thumbnails\images\About To Eat\-gal8E_dgE8,870,1,8600,1271,0,0,0,0,1,0,0,0,0,0,39,0.205128205128205,0,0
thumbnails\images\About To Eat\0U_Mpg59FSw,870,0,2700,7445,0,0,0,0,1,0,0,0,0,0,24,0.166666666666667,0,0.0416666666666667
thumbnails\images\About To Eat\29ZP8ADQJ1Y,870,0,3300,1114,0,0,0,0,1,0,0,0,0,0,40,0.225,0,0
thumbnails\images\About To Eat\39opX6-QJJI,870,1,1400,1109,0,0,0,0,1,0,0,0,0,0,35,0.2,0.0571428571428571,0
thumbnails\images\About To Eat\48DD3kekP3E,870,1,1500,1316,0,0,0,0,1,0,0,0,0,0,34,0.147058823529412,0.0588235294117647,0
thumbnails\images\About To Eat\4G6Y6glM_hg,870,1,2500,1431,0,0,0,0,1,0,0,0,0,0,36,0.194444444444444,0.0555555555555556,0
thumbnails\images\About To Eat\AAtoia2BbjE,870,1,1200,687,0,0,0,0,1,0,0,0,0,0,49,0.163265306122449,0,0.0408163265306122
thumbnails\images\About To Eat\Bhos_P4a-JQ,870,1,1800,1566,0,0,0,0,1,0,0,0,0,0,27,0.111111111111111,0.148148148148148,0.037037037037037
thumbnails\images\About To Eat\CmI2dXo14sY,870,1,2000,1190,0,0,0,0,1,0,0,0,0,0,23,0.130434782608696,0.173913043478261,0.0434782608695652
thumbnails\images\About To Eat\F3RGIBExjfE,870,1,887,623,0,0,0,0,1,0,0,0,0,0,33,0.151515151515152,0.0909090909090909,0
thumbnails\images\About To Eat\IsGWMxZhlOY,870,1,818,1376,0,0,0,0,1,0,0,0,0,0,18,0.222222222222222,0.0555555555555556,0
thumbnails\images\About To Eat\LHx63zUMLpM,870,1,892,1184,0,0,0,0,1,0,0,0,0,0,32,0.15625,0.15625,0
thumbnails\images\About To Eat\PlI3gjkcPz0,870,1,2000,1602,0,0,0,0,1,0,0,0,0,0,36,0.194444444444444,0.0555555555555556,0
thumbnails\images\About To Eat\UT9a7EtxQOM,870,1,977,689,0,0,0,0,1,0,0,0,0,0,45,0.2,0,0
thumbnails\images\About To Eat\Uk3-FxTF-BU,870,1,898,1126,0,0,0,0,1,0,0,0,0,0,48,0.208333333333333,0.0416666666666667,0.0208333333333333
thumbnails\images\About To Eat\eHSvv8eSsvc,870,1,2400,821,0,0,0,0,1,0,0,0,0,0,34,0.176470588235294,0.0588235294117647,0
thumbnails\images\About To Eat\h5st8mluVUo,870,1,935,1146,0,0,0,0,1,0,0,0,0,0,34,0.147058823529412,0.147058823529412,0
thumbnails\images\About To Eat\iCd5Po4fPb0,870,1,796,2029,0,0,0,0,1,0,0,0,0,0,49,0.183673469387755,0.0408163265306122,0
thumbnails\images\About To Eat\nUSI5uUocho,870,1,766,742,0,0,0,0,1,0,0,0,0,0,44,0.181818181818182,0,0
thumbnails\images\About To Eat\pJbC7W2fMvQ,870,1,2400,1134,0,0,0,0,1,0,0,0,0,0,26,0.153846153846154,0.115384615384615,0
thumbnails\images\About To Eat\rA1Kjvxu28w,870,1,1100,652,0,0,0,0,1,0,0,0,0,0,45,0.2,0.0666666666666667,0.0222222222222222
thumbnails\images\About To Eat\rRSOt9SpBMI,870,1,2700,1161,0,0,0,0,1,0,0,0,0,0,39,0.128205128205128,0.102564102564103,0.0256410256410256
thumbnails\images\About To Eat\uJa584PPm-E,870,1,1600,4344,0,0,0,0,1,0,0,0,0,0,25,0.16,0,0.04
thumbnails\images\About To Eat\uxhgrd6HWVw,870,0,876,1400,0,0,0,0,1,0,0,0,0,0,23,0.217391304347826,0.0434782608695652,0
thumbnails\images\About To Eat\whJgPudKgE0,870,1,862,751,0,0,0,0,1,0,0,0,0,0,39,0.153846153846154,0,0.0256410256410256
thumbnails\images\About To Eat\wkPxBltQzzg,870,1,1100,1055,0,0,0,0,1,0,0,0,0,0,31,0.225806451612903,0.0967741935483871,0
thumbnails\images\About To Eat\xlPJfeNzBzE,870,0,1100,1281,0,0,0,0,1,0,0,0,0,0,30,0.2,0.0333333333333333,0
thumbnails\images\Abroad in Japan\-tBy2jemw4s,2560,1,8900,667,0,1,0,0,0,0,0,0,0,0,53,0.113207547169811,0,0.0188679245283019
thumbnails\images\Abroad in Japan\0GCuvcTI090,2560,1,16000,775,0,1,0,0,0,0,0,0,0,0,28,0.178571428571429,0.0714285714285714,0
thumbnails\images\Abroad in Japan\3LS83dDqoGU,2560,1,5500,671,0,1,0,0,0,0,0,0,0,0,31,0.129032258064516,0,0.0645161290322581
thumbnails\images\Abroad in Japan\5VDnj8IEWNc,2560,1,4000,1009,0,1,0,0,0,0,0,0,0,0,46,0.239130434782609,0,0
thumbnails\images\Abroad in Japan\5VmCvChcGzU,2560,1,4500,197,0,1,0,0,0,0,0,0,0,0,45,0.133333333333333,0,0
thumbnails\images\Abroad in Japan\AHuj4DCueO4,2560,1,2500,893,0,1,0,0,0,0,0,0,0,0,57,0.140350877192982,0.0175438596491228,0
thumbnails\images\Abroad in Japan\HEaaln5jDl8,2560,1,3300,1559,0,1,0,0,0,0,0,0,0,0,45,0.155555555555556,0,0.0222222222222222
thumbnails\images\Abroad in Japan\IXgX_r-x-XE,2560,1,5500,696,0,1,0,0,0,0,0,0,0,0,28,0.857142857142857,0,0
thumbnails\images\Abroad in Japan\M400lV0GNV4,2560,0,2500,1518,0,1,0,0,0,0,0,0,0,0,51,0.294117647058824,0,0.0392156862745098
thumbnails\images\Abroad in Japan\RuAQo97K-zE,2560,1,2500,1005,0,1,0,0,0,0,0,0,0,0,38,0.131578947368421,0.0526315789473684,0
thumbnails\images\Abroad in Japan\SkY1DiyCqTU,2560,1,7000,683,0,1,0,0,0,0,0,0,0,0,57,0.12280701754386,0,0.0175438596491228
thumbnails\images\Abroad in Japan\TwPHIABVdg8,2560,1,2500,1158,0,1,0,0,0,0,0,0,0,0,41,0.121951219512195,0,0.0487804878048781
thumbnails\images\Abroad in Japan\U7Q3sKNuZA0,2560,1,5700,547,0,1,0,0,0,0,0,0,0,0,32,0.125,0,0
thumbnails\images\Abroad in Japan\_IOZbJ7PCPk,2560,0,3700,747,0,1,0,0,0,0,0,0,0,0,59,0.101694915254237,0.0338983050847458,0
thumbnails\images\Abroad in Japan\aVT0BvWZcLg,2560,0,5700,935,0,1,0,0,0,0,0,0,0,0,52,0.403846153846154,0.0576923076923077,0.0192307692307692
thumbnails\images\Abroad in Japan\faJM9iQZMbQ,2560,1,3300,973,0,1,0,0,0,0,0,0,0,0,40,0.125,0.05,0
thumbnails\images\Abroad in Japan\fmOP68S5v7c,2560,1,4300,728,0,1,0,0,0,0,0,0,0,0,65,0.107692307692308,0,0.0153846153846154
thumbnails\images\Abroad in Japan\fso4yjbgceY,2560,1,4800,866,0,1,0,0,0,0,0,0,0,0,41,0.146341463414634,0,0
